categoria|nome|modelo|preco|voltagem
Climatizadores (Antigos)|Aleta Horizontal|SX015 Trend (A)|15|
Climatizadores (Antigos)|Aleta Vertical|SX015 Trend (A)|15|
Climatizadores (Antigos)|Bomba d'água|SX015 Trend (A)|150|110V
Climatizadores (Antigos)|Bomba d'água|SX015 Trend (A)|150|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX015 Trend (A)|30|
Climatizadores (Antigos)|Capacitor|SX015 Trend (A)|50|110V
Climatizadores (Antigos)|Capacitor|SX015 Trend (A)|50|220V
Climatizadores (Antigos)|Colmeia Lateral|SX015 Trend (A)|150|
Climatizadores (Antigos)|Colmeia Traseira|SX015 Trend (A)|200|
Climatizadores (Antigos)|Controle Remoto|SX015 Trend (A)|50|
Climatizadores (Antigos)|Dreno|SX015 Trend (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX015 Trend (A)|150|
Climatizadores (Antigos)|Estrutura Lateral|SX015 Trend (A)|100|
Climatizadores (Antigos)|Estrutura Superior|SX015 Trend (A)|100|
Climatizadores (Antigos)|Estrutura Traseira|SX015 Trend (A)|150|
Climatizadores (Antigos)|Filtro Lateral|SX015 Trend (A)|70|
Climatizadores (Antigos)|Filtro Traseiro|SX015 Trend (A)|90|
Climatizadores (Antigos)|Hélice|SX015 Trend (A)|200|
Climatizadores (Antigos)|Kit Colmeia|SX015 Trend (A)|550|
Climatizadores (Antigos)|Limpeza|SX015 Trend (A)|150|
Climatizadores (Antigos)|Motor|SX015 Trend (A)|550|110V
Climatizadores (Antigos)|Motor|SX015 Trend (A)|550|220V
Climatizadores (Antigos)|Motor Swing|SX015 Trend (A)|500|110V
Climatizadores (Antigos)|Motor Swing|SX015 Trend (A)|500|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX015 Trend (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX015 Trend (A)|250|110V
Climatizadores (Antigos)|Placa de Comando|SX015 Trend (A)|250|220V
Climatizadores (Antigos)|Placa de Painel|SX015 Trend (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX015 Trend (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX015 Trend (A)|150|
Climatizadores (Antigos)|Rodízios|SX015 Trend (A)|20|
Climatizadores (Antigos)|Swing Aleta|SX015 Trend (A)|25|
Climatizadores (Antigos)|Tampa Superior|SX015 Trend (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX035 (A)|15|
Climatizadores (Antigos)|Aleta Vertical|SX035 (A)|15|
Climatizadores (Antigos)|Bomba d'água|SX035 (A)|150|110V
Climatizadores (Antigos)|Bomba d'água|SX035 (A)|150|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX035 (A)|30|
Climatizadores (Antigos)|Capacitor|SX035 (A)|50|110V
Climatizadores (Antigos)|Capacitor|SX035 (A)|50|220V
Climatizadores (Antigos)|Colmeia Lateral|SX035 (A)|150|
Climatizadores (Antigos)|Colmeia Traseira|SX035 (A)|200|
Climatizadores (Antigos)|Controle Remoto|SX035 (A)|50|
Climatizadores (Antigos)|Dreno|SX035 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX035 (A)|150|
Climatizadores (Antigos)|Estrutura Lateral|SX035 (A)|100|
Climatizadores (Antigos)|Estrutura Superior|SX035 (A)|100|
Climatizadores (Antigos)|Estrutura Traseira|SX035 (A)|150|
Climatizadores (Antigos)|Filtro Lateral|SX035 (A)|70|
Climatizadores (Antigos)|Filtro Traseiro|SX035 (A)|90|
Climatizadores (Antigos)|Hélice|SX035 (A)|200|
Climatizadores (Antigos)|Kit Colmeia|SX035 (A)|550|
Climatizadores (Antigos)|Limpeza|SX035 (A)|150|
Climatizadores (Antigos)|Motor|SX035 (A)|550|110V
Climatizadores (Antigos)|Motor|SX035 (A)|550|220V
Climatizadores (Antigos)|Motor Swing|SX035 (A)|500|110V
Climatizadores (Antigos)|Motor Swing|SX035 (A)|500|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX035 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX035 (A)|250|110V
Climatizadores (Antigos)|Placa de Comando|SX035 (A)|250|220V
Climatizadores (Antigos)|Placa de Painel|SX035 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX035 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX035 (A)|150|
Climatizadores (Antigos)|Rodízios|SX035 (A)|20|
Climatizadores (Antigos)|Swing Aleta|SX035 (A)|25|
Climatizadores (Antigos)|Tampa Superior|SX035 (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX040 (A)|15|
Climatizadores (Antigos)|Aleta Vertical|SX040 (A)|15|
Climatizadores (Antigos)|Bomba d'água|SX040 (A)|150|110V
Climatizadores (Antigos)|Bomba d'água|SX040 (A)|150|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX040 (A)|30|
Climatizadores (Antigos)|Capacitor|SX040 (A)|50|110V
Climatizadores (Antigos)|Capacitor|SX040 (A)|50|220V
Climatizadores (Antigos)|Colmeia Lateral|SX040 (A)|150|
Climatizadores (Antigos)|Colmeia Traseira|SX040 (A)|200|
Climatizadores (Antigos)|Controle Remoto|SX040 (A)|50|
Climatizadores (Antigos)|Dreno|SX040 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX040 (A)|150|
Climatizadores (Antigos)|Estrutura Lateral|SX040 (A)|100|
Climatizadores (Antigos)|Estrutura Superior|SX040 (A)|100|
Climatizadores (Antigos)|Estrutura Traseira|SX040 (A)|150|
Climatizadores (Antigos)|Filtro Lateral|SX040 (A)|70|
Climatizadores (Antigos)|Filtro Traseiro|SX040 (A)|90|
Climatizadores (Antigos)|Hélice|SX040 (A)|200|
Climatizadores (Antigos)|Kit Colmeia|SX040 (A)|550|
Climatizadores (Antigos)|Limpeza|SX040 (A)|150|
Climatizadores (Antigos)|Motor|SX040 (A)|550|110V
Climatizadores (Antigos)|Motor|SX040 (A)|550|220V
Climatizadores (Antigos)|Motor Swing|SX040 (A)|500|110V
Climatizadores (Antigos)|Motor Swing|SX040 (A)|500|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX040 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX040 (A)|250|110V
Climatizadores (Antigos)|Placa de Comando|SX040 (A)|250|220V
Climatizadores (Antigos)|Placa de Painel|SX040 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX040 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX040 (A)|150|
Climatizadores (Antigos)|Rodízios|SX040 (A)|20|
Climatizadores (Antigos)|Swing Aleta|SX040 (A)|25|
Climatizadores (Antigos)|Tampa Superior|SX040 (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX045 (A)|15|
Climatizadores (Antigos)|Aleta Vertical|SX045 (A)|15|
Climatizadores (Antigos)|Bomba d'água|SX045 (A)|150|110V
Climatizadores (Antigos)|Bomba d'água|SX045 (A)|150|220V
Climatizadores (Antigos)|Cabo de Alimentação|SX045 (A)|30|
Climatizadores (Antigos)|Capacitor|SX045 (A)|50|110V
Climatizadores (Antigos)|Capacitor|SX045 (A)|50|220V
Climatizadores (Antigos)|Colmeia Lateral|SX045 (A)|150|
Climatizadores (Antigos)|Colmeia Traseira|SX045 (A)|200|
Climatizadores (Antigos)|Controle Remoto|SX045 (A)|50|
Climatizadores (Antigos)|Dreno|SX045 (A)|25|
Climatizadores (Antigos)|Estrutura Frontal|SX045 (A)|150|
Climatizadores (Antigos)|Estrutura Lateral|SX045 (A)|100|
Climatizadores (Antigos)|Estrutura Superior|SX045 (A)|100|
Climatizadores (Antigos)|Estrutura Traseira|SX045 (A)|150|
Climatizadores (Antigos)|Filtro Lateral|SX045 (A)|70|
Climatizadores (Antigos)|Filtro Traseiro|SX045 (A)|90|
Climatizadores (Antigos)|Hélice|SX045 (A)|200|
Climatizadores (Antigos)|Kit Colmeia|SX045 (A)|550|
Climatizadores (Antigos)|Limpeza|SX045 (A)|150|
Climatizadores (Antigos)|Motor|SX045 (A)|550|110V
Climatizadores (Antigos)|Motor|SX045 (A)|550|220V
Climatizadores (Antigos)|Motor Swing|SX045 (A)|500|110V
Climatizadores (Antigos)|Motor Swing|SX045 (A)|500|220V
Climatizadores (Antigos)|Pino Eixo Swing|SX045 (A)|25|
Climatizadores (Antigos)|Placa de Comando|SX045 (A)|250|110V
Climatizadores (Antigos)|Placa de Comando|SX045 (A)|250|220V
Climatizadores (Antigos)|Placa de Painel|SX045 (A)|250|110V
Climatizadores (Antigos)|Placa de Painel|SX045 (A)|250|220V
Climatizadores (Antigos)|Reservatório|SX045 (A)|150|
Climatizadores (Antigos)|Rodízios|SX045 (A)|20|
Climatizadores (Antigos)|Swing Aleta|SX045 (A)|25|
Climatizadores (Antigos)|Tampa Superior|SX045 (A)|200|
Climatizadores (Antigos)|Aleta Horizontal|SX050 (A)|15|
Climatizadores (Antigos)|Aleta Vertical|SX050 (A)|15|
Climatizadores (Antigos)|Bomba d'água|SX050 (A)|150|110V
Climatizadores (Antigos)|Bomba d'água|SX050 (A)|150|220V
