categoria|nome|modelo|preco
Climatizadores|Aleta Horizontal|M45 Trend|15
Climatizadores|Aleta Horizontal|SX040 Trend|15
Climatizadores|Aleta Horizontal|SX060 Prime|20
Climatizadores|Aleta Horizontal|SX070 Trend|20
Climatizadores|Aleta Horizontal|SX100 Trend|20
Climatizadores|Aleta Horizontal|SX120 Prime|25
Climatizadores|Aleta Horizontal|SX180 Trend|25
Climatizadores|Aleta Horizontal|SX200 Prime|30
Climatizadores|Aleta Horizontal|SX200 Trend|25
Climatizadores|Aleta Vertical|M45 Trend|15
Climatizadores|Aleta Vertical|SX040 Trend|15
Climatizadores|Aleta Vertical|SX060 Prime|20
Climatizadores|Aleta Vertical|SX070 Trend|20
Climatizadores|Aleta Vertical|SX100 Trend|20
Climatizadores|Aleta Vertical|SX120 Prime|25
Climatizadores|Aleta Vertical|SX180 Trend|25
Climatizadores|Aleta Vertical|SX200 Prime|30
Climatizadores|Aleta Vertical|SX200 Trend|25
Climatizadores|Boia|SX060 Prime|50
Climatizadores|Boia|SX070 Trend|50
Climatizadores|Boia|SX100 Trend|50
Climatizadores|Boia|SX120 Prime|60
Climatizadores|Boia|SX180 Trend|60
Climatizadores|Boia|SX200 Prime|60
Climatizadores|Boia|SX200 Trend|60
Climatizadores|Bomba d'água|M45 Trend|150
Climatizadores|Bomba d'água|SX040 Trend|150
Climatizadores|Bomba d'água|SX060 Prime|150
Climatizadores|Bomba d'água|SX070 Trend|200
Climatizadores|Bomba d'água|SX100 Trend|200
Climatizadores|Bomba d'água|SX120 Prime|200
Climatizadores|Bomba d'água|SX180 Trend|250
Climatizadores|Bomba d'água|SX200 Prime|250
Climatizadores|Bomba d'água|SX200 Trend|250
Climatizadores|Botão Painel Grande|M45 Trend|40
Climatizadores|Botão Painel Menor|M45 Trend|25
Climatizadores|Cabo de Alimentação|M45 Trend|30
Climatizadores|Cabo de Alimentação|SX040 Trend|30
Climatizadores|Cabo de Alimentação|SX060 Prime|60
Climatizadores|Cabo de Alimentação|SX070 Trend|40
Climatizadores|Cabo de Alimentação|SX100 Trend|40
Climatizadores|Cabo de Alimentação|SX120 Prime|65
Climatizadores|Cabo de Alimentação|SX180 Trend|50
Climatizadores|Cabo de Alimentação|SX200 Prime|65
